canción id,nombre,artistas,duración (segundos),popularidad,explícito,fecha de lanzamiento,url de spotify,imagen,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,clave (key),modo (mode),predicted_genre,Cluster
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,261.466,92,0,2024-05-17,https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,0.467,0.247,0.126,148.101,0.612,0.000271,0.0431,6,0,jazz,1
1QoyuMHNBe7lg3YW4Qtll4,St. Chroma (feat. Daniel Caesar),"Tyler, The Creator, Daniel Caesar",197.019,89,1,2024-10-28,https://open.spotify.com/track/1QoyuMHNBe7lg3YW4Qtll4,https://i.scdn.co/image/ab67616d0000b273232374a6a869e62826f3f1f7,0.576,0.884,0.373,150.45,0.357,0.0,0.555,0,1,electronic,2
0xGQTpN4ESETtl1Sp6rzd2,São Paulo (feat. Anitta),"The Weeknd, Anitta",301.623,82,1,2024-10-31,https://open.spotify.com/track/0xGQTpN4ESETtl1Sp6rzd2,https://i.scdn.co/image/ab67616d0000b273935a1712f56a9ee9d51ffd6e,0.574,0.659,0.506,127.347,0.0412,0.0002,0.0768,5,0,rock,1
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",256.0,92,1,2024-09-27,https://open.spotify.com/track/1Es7AUAhQvapIcoh3qMKDL,https://i.scdn.co/image/ab67616d0000b273ee2fe4a7b285d3817b470859,0.769,0.722,0.57,119.973,0.0584,2.56e-06,0.0507,11,0,pop,3
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,195.824,93,0,2024-06-21,https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k,https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e,0.924,0.668,0.787,128.027,0.446,0.000594,0.0469,11,1,pop,0
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,180.304,89,0,2024-04-05,https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,0.472,0.471,0.219,105.029,0.151,0.0,0.0603,10,1,classical,0
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,186.365,87,1,2024-08-23,https://open.spotify.com/track/2tHwzyyOLoWSFqYNjeVMzj,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,0.675,0.586,0.621,107.015,0.257,0.0,0.0531,9,1,latin,2
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,208.211,88,0,2015-04-06,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU,https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583,0.448,0.369,0.0998,174.097,0.968,0.272,0.0452,9,1,jazz,0
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,226.6,90,0,2014-11-17,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,0.672,0.52,0.37,120.001,0.859,0.0,0.0353,8,1,country,0
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,240.4,90,0,2013-04-22,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,0.612,0.807,0.398,124.053,0.0495,0.0177,0.0336,10,1,rock,0
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",180.386,89,1,2017-07-21,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,0.558,0.559,0.62,78.558,0.371,7.49e-06,0.0959,6,1,country,2
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,157.146,90,1,2024-06-21,https://open.spotify.com/track/51rfRCiUSvxXlCSCfIztBy,https://i.scdn.co/image/ab67616d0000b2736e2101520787791370f4a96b,0.53,0.406,0.338,115.94,0.656,0.0,0.033,10,1,classical,1
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,210.688,89,0,2023-09-15,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,0.561,0.604,0.242,159.92,0.199,1.9e-05,0.0337,9,1,country,0
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,233.478,88,0,2012-12-07,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,0.726,0.698,0.867,143.994,0.049,0.0,0.0431,5,1,pop,0
3yDRcs0Y4pPzkvMbUfeF9H,Moonlit Floor (Kiss Me),LISA,155.757,90,0,2024-10-03,https://open.spotify.com/track/3yDRcs0Y4pPzkvMbUfeF9H,https://i.scdn.co/image/ab67616d0000b2735a039ed450d3e9a5caaf7818,0.733,0.786,0.672,109.954,0.128,0.0,0.112,5,0,latin,0
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",255.915,86,1,2024-10-28,https://open.spotify.com/track/3tFed7YsjGnIfxeLEQwx3R,https://i.scdn.co/image/ab67616d0000b273232374a6a869e62826f3f1f7,0.505,0.812,0.664,80.09,0.285,0.0,0.461,1,1,latin,2
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,Sabrina Carpenter,171.869,91,0,2024-08-23,https://open.spotify.com/track/1UHS8Rf6h5Ar3CDWRd3wjF,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,0.739,0.727,0.676,94.99,0.0678,0.0,0.0426,11,0,hip hop,0
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,183.956,90,0,2013-09-09,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,0.464,0.417,0.479,67.528,0.136,0.022,0.0256,0,0,classical,1
